Date,Open,High,Low,Close,Volume,Adj Close
2006-06-05,128.85,128.86,123.87,125.35,125026500,105.69
2006-05-30,127.97,129.43,126.05,129.00,81192600,108.77
2006-05-22,126.28,128.38,124.76,128.38,102646300,108.24
2006-05-15,128.79,130.00,125.80,127.10,100634400,107.16
2006-05-08,132.51,132.77,129.19,129.24,59322400,108.97
2006-05-01,131.47,132.80,130.32,132.52,56076900,111.73
2006-04-24,130.89,131.75,129.59,131.47,76900300,110.85
2006-04-17,128.83,131.86,128.02,131.15,80463300,110.58
2006-04-10,129.74,130.08,128.25,128.71,52095300,108.52
2006-04-03,130.07,131.40,129.35,129.54,61025600,109.22
2006-03-27,130.03,130.98,129.05,129.83,61921100,109.46
2006-03-20,130.64,130.99,129.45,130.21,54832000,109.79
2006-03-13,128.84,131.47,128.53,130.62,56313700,110.13
2006-03-06,129.14,129.18,127.18,128.59,60551200,107.99
2006-02-27,129.40,130.07,128.13,128.76,58587900,108.13
2006-02-21,129.11,129.65,128.28,129.41,42245900,108.68
2006-02-13,126.60,129.21,125.95,128.81,66020900,108.17
2006-02-06,126.44,128.10,125.40,126.64,60534800,106.35
2006-01-30,128.44,128.81,126.14,126.27,67974900,106.04
2006-01-23,126.21,128.66,125.84,128.54,68967800,107.95
2006-01-17,128.20,128.90,125.97,125.97,80905600,105.79
2006-01-09,128.42,129.44,128.20,128.68,44690600,108.07
2006-01-03,125.19,128.58,124.39,128.44,58837400,107.86
2005-12-27,126.96,127.05,124.36,124.51,38174500,104.56
2005-12-19,126.73,126.87,125.48,126.76,41473600,106.45
2005-12-12,126.71,128.09,125.96,126.36,60706800,106.12
2005-12-05,126.70,127.74,125.48,126.33,59475600,105.53
2005-11-28,127.25,127.27,125.29,126.85,54882400,105.97
2005-11-21,125.15,127.41,124.98,127.13,45646100,106.20
2005-11-14,123.79,125.28,122.86,125.13,58794400,104.53
2005-11-07,122.37,123.84,121.75,123.76,52100000,103.39
2005-10-31,120.29,122.66,120.13,122.11,72425900,102.01
2005-10-24,118.44,120.54,117.93,119.80,73540700,100.08
2005-10-17,118.80,119.81,117.12,118.13,97643200,98.68
2005-10-10,119.68,119.71,116.88,118.67,83304200,99.13
2005-10-03,122.96,123.34,118.17,119.61,86885200,99.92
2005-09-26,122.02,123.04,121.02,123.04,61923700,102.78
2005-09-19,123.47,123.61,120.44,121.44,75254000,101.45
2005-09-12,124.45,124.67,122.87,123.50,59544100,103.17
2005-09-06,122.66,124.74,122.65,124.60,45290900,103.65
2005-08-29,120.41,123.15,120.38,122.27,71103300,101.71
2005-08-22,122.58,123.23,120.68,120.76,60354600,100.45
2005-08-15,123.22,123.87,121.84,122.47,52731200,101.87
2005-08-08,123.15,124.50,122.38,123.06,56199300,102.37
2005-08-01,123.83,124.74,122.67,122.88,45370700,102.22
2005-07-25,123.41,124.64,122.85,123.74,50696100,102.93
